Topic,Topic2,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Perspective2,Category1,Country,Novelty_Score
#beverage,#mojito,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#fizzydrink,#happiness,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#giveaway,@homejobsbymom,soda,last year,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#happiness,#wellbeing,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#sparklingwater,#coldbrew,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#whynot,#supercharged,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@YouTube,Sparkling Water,soda,last year,0.0,-0.9866149,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
Ice Cream,Shake,soda,last year,0.8388,83.880005,3,300.0,0.0,Ingredient,Motivation,Beverage,Canada,8.589969
Mint,Ginger,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Mustard,Tomato,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Soda,Red,soda,last 3 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Veggies,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Veggies,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#cocktails,Spiced,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Motivation,Beverage,Canada,8.589969
#craftcocktails,Tonic,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#fevertree,Tonic,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#fevertree,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,#tiqaportland,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#howsyourheadhun,@michellevisage,tonic,last 3 month,-0.2942,-29.42,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#howsyourheadhun,@michellevisage,tonic,last month,-0.2942,-29.42,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#howsyourheadhun,Tonic,tonic,last year,-0.2942,-29.42,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#rosemary,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#wintersover,#spanishgin,tonic,last 3 month,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@DoubleDutchMix,#cocktails,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
@ReisePferdich,Tonic,tonic,last 6 month,0.0,-1.019976,0,-0.99667776,0.0,Hashtag,Ingredient,Beverage,Canada,7.6868787
@craftandcochest,Ginger,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
Cranberry,Spiced,tonic,last year,0.8832,88.32,3,300.0,0.0,Ingredient,Motivation,Beverage,Canada,8.589969
Fever Tree,#rosemary,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Brand,Hashtag,Beverage,Canada,8.834928
Gin,@columbiasc,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,Orange,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Ice,Large,tonic,last year,0.0,0.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Rosemary,#portlandbars,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Rosemary,#rosemary,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Tonic,#bbcqt,tonic,last 6 month,0.0,0.0,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Tonic,@bbcquestiontime,tonic,last year,0.0,0.0,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Tonic,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#Coke,Flavoring,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#designinspo,#interiordesign,ginger ale,last year,0.7263,72.63,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#gingerale,Stomach,ginger ale,last year,0.0,-0.96953076,0,-0.99502486,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#rock,#drummer,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@Wendys,Coke,ginger ale,last 3 month,0.0,-0.9897162,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@WindowTrendsHI,#design,ginger ale,last year,0.7263,72.63,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
Alfredo,Cake,ginger ale,last 3 month,0.0,-0.9786689,0,-0.99502486,0.0,Brand,Ingredient,Beverage,Canada,8.834928
Cheese,@Jaguars,ginger ale,last year,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Cherry,Cherry Coke,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Pimento,ginger ale,last year,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cold Water,Ginger Ale,ginger ale,last 6 month,0.0,-1.1488096,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Creamy,Ginger Ale,ginger ale,last 6 month,0.0,-0.9786689,0,-0.99502486,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
French,Coke,ginger ale,last year,0.0,0.0,3,300.0,0.0,Motivation,Ingredient,Beverage,Canada,8.589969
Frozen,Ice Cubes,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Ice Cubes,Coke,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Orange,Vanilla,ginger ale,last 3 month,0.0,-1.0182682,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sonic,Dr Pepper,ginger ale,last year,-0.8442,-84.42,3,300.0,0.0,Brand,Ingredient,Beverage,Canada,7.6868787
Vanilla,#Enjoy,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
#NATURAL,#hammock,soda,last year,0.4404,44.04,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#craft,Ginger,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#whynot,#coldbrew,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@RootdHealth,#win,soda,last 3 month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
Bacon,Cheese,soda,last 6 month,-0.296,-29.6,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Cold,Coffee,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Lemonade,Ginger,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Lemonade,Sparkling Water,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Red,Dried,soda,last 3 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Red,Dried,soda,last 6 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Shake,Soda,soda,last 6 month,0.8388,83.880005,3,300.0,0.0,Motivation,Ingredient,Beverage,Canada,8.589969
Soda,Squid,soda,last 6 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Squid,Dried,soda,last year,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Tuna,Sparkling Water,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Water,Coke,soda,last 3 month,0.8687,86.87,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#Ginvent,Cinnamon,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Hashtag,Ingredient,Beverage,Canada,
#MarchMadness,Tonic,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#RugbyWorldCup2019,@MapsMaponyane,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#bbcqt,@bbcquestiontime,tonic,last 6 month,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#cocktails,Ginger,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#craftcocktails,#portlandbars,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#craftcocktails,Angostura Bitters,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#tiqaportland,Tonic Water,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#wintersover,#bluehenntonic,tonic,last 6 month,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@CAEAirport,Tonic,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@DoubleDutchMix,@ChairmansUK,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
@DoubleDutchMix,Tonic,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
@columbiasc,#MarchMadness,tonic,last year,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
Angostura Bitters,Tonic Water,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cranberry,Ginger,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Fever Tree,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Brand,Hashtag,Beverage,Canada,8.834928
Fever Tree,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Brand,Ingredient,Beverage,Canada,8.834928
Fresh,Orange,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Gin,#ginandtonic,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,#ginandtonic,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,#tiqaportland,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,@bbcquestiontime,tonic,last 6 month,0.0,0.0,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,Orange,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Spiced,@ChairmansUK,tonic,last year,0.8832,88.32,3,300.0,0.0,Motivation,Hashtag,Beverage,Canada,8.589969
Stick,Fresh,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Motivation,Ingredient,Beverage,Canada,
Tonic,@craftandcochest,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.589969
Tonic,Ginger,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Tonic,Rosemary,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#Coke,#flavors,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#beer,#food,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#djent,#metal,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#djent,@8gband,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#drum,#latenightshow,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#jazz,#rock,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#pop,#jazz,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@raemack2488,Black,ginger ale,last year,0.0,-0.97682506,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
Alfredo,Cake,ginger ale,last year,0.0,-0.9786689,0,-0.99502486,0.0,Brand,Ingredient,Beverage,Canada,8.834928
Cold Water,Cranberry Juice,ginger ale,last 6 month,0.0,-1.1488096,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Creamy,Alfredo,ginger ale,last year,0.0,-0.9786689,0,-0.99502486,0.0,Motivation,Brand,Beverage,Canada,8.834928
#craft,#lemonade,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#craft,Fresh Lime,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#giveaway,#win,soda,last year,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#giveaway,@homejobsbymom,soda,last 3 month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#health,Human,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#stayinnandbeoutout,#NOTANAD,soda,last year,0.296,29.6,4,400.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#stayinnandbeoutout,Lime,soda,last year,0.296,29.6,4,400.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#whynot,#fizzyfriday,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@RootdHealth,#win,soda,last month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
Candy,Chocolate,soda,last year,0.0,-1.01104,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cherry,Mineral Water,soda,last year,0.6124,61.239998,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cherry,Soda,soda,last 6 month,0.6124,61.239998,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Fat,Soda,soda,last year,0.0,-1.0106394,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Flat,Water,soda,last year,-0.6705,-67.049995,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Mustard,Tomato,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Shake,Soda,soda,last year,0.8388,83.880005,3,300.0,0.0,Motivation,Ingredient,Beverage,Canada,8.589969
Soda,Squid,soda,last year,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sparkling Water,Coke,soda,last year,0.8687,86.87,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Mustard,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Squid,Bean Soup,soda,last 3 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Squid,Red,soda,last 6 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Veggies,Fried Eggs,soda,last year,0.88,88.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#Angular,Tonic,tonic,last 3 month,0.6369,63.690002,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#Angular,Tonic,tonic,last 6 month,0.6369,63.690002,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#BunsOut,@altamc,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#RealColumbiaSC,@CAEAirport,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#RealColumbiaSC,@CAEAirport,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#RealColumbiaSC,Tonic,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#RealColumbiaSC,Tonic,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#TalkAt9,#RugbyWorldCup2019,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#chairmansreserve,@craftandcochest,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#chairmansreserve,Spiced,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Motivation,Beverage,Canada,8.589969
#cocktails,#chairmansreserve,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#cocktails,#chairmansreserve,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#craftcocktails,Tonic Water,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Rosemary,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Tonic,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#rosemary,Tonic Water,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#tiqaportland,Tonic,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#wintersover,#bluehenntonic,tonic,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@bbcthree,@michellevisage,tonic,last month,-0.2942,-29.42,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
@craftandcochest,Spiced,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Motivation,Beverage,Canada,8.589969
Fever Tree,#rosemary,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Brand,Hashtag,Beverage,Canada,8.834928
Gin,#Ginvent,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Hashtag,Beverage,Canada,
Gin,#RealColumbiaSC,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,#fevertree,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,@drjoshsc,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,Tonic,tonic,last month,-0.65926665,-65.92667,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Stick,Orange,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Motivation,Ingredient,Beverage,Canada,
#DreBanksWorld,@Dj,ginger ale,last year,0.802,80.2,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#arcade,Beer,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#designinspo,#lightingdesign,ginger ale,last year,0.7263,72.63,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#drum,#jazz,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#groove,#djent,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#interiordesign,#design,ginger ale,last year,0.7263,72.63,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
@pepsi,Icing,ginger ale,last year,0.0,-0.9842767,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
Cake,Coke,ginger ale,last year,0.0,-0.9842767,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Diet,ginger ale,last 6 month,-0.1926,-0.76780266,2,0.0,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Coke,Vanilla,ginger ale,last 3 month,0.0,-1.0182682,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Coke,Vanilla,ginger ale,last 6 month,0.0,-1.0182682,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Coke,Water,ginger ale,last 3 month,-0.1926,-19.26,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cold,Lime,ginger ale,last year,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Gin,Ginger Ale,ginger ale,last year,0.0,-0.9858277,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Ginger Ale,Alfredo,ginger ale,last 3 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Brand,Beverage,Canada,8.834928
Ginger Ale,Sprite,ginger ale,last 6 month,0.0,0.0,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Grapes,Coke,ginger ale,last year,0.0,-0.98454165,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Lime,#CherryCoke,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Rebel,Cavalier,ginger ale,last year,0.6259,62.589996,4,400.0,0.0,Brand,Brand,Beverage,Canada,7.6868787
Sprite,Lemon,ginger ale,last year,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#0calories,#hammock,soda,last year,0.4404,44.04,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#0calories,#sparklingwater,soda,last year,0.4404,44.04,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#humanhappiness,#fizzydrink,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#supercharged,#fizzyfriday,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@RootdHealth,#giveaway,soda,last month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
@RootdHealth,#win,soda,last 6 month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
Carbonated,Flat,soda,last year,-0.6705,-67.049995,2,200.0,0.0,Motivation,Motivation,Beverage,Canada,8.834928
Carbonated,Pear,soda,last year,-0.7351,-73.509995,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Cold,#supercharged,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Garnish,Ginger,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Ice Cream,Soda,soda,last 3 month,0.8388,83.880005,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Lime,Sparkling Water,soda,last 3 month,0.296,29.6,4,400.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Mustard,Eggs,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Seltzer,Flat,soda,last year,-0.6705,-67.049995,2,200.0,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Sparkling Water,Mature,soda,last year,0.6124,61.239998,6,600.0,0.0,Ingredient,Motivation,Beverage,Canada,8.589969
Sparkling Water,Provolone Cheese,soda,last year,1.1695334,116.95334,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Sparkling Water,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Veggies,Eggs,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Vodka,#stayinnandbeoutout,soda,last year,0.296,29.6,4,400.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.589969
#SimplyAmazing,Tonic Water,tonic,last 3 month,0.5859,58.59,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#cocktails,Spiced,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Motivation,Beverage,Canada,8.589969
#craftcocktails,#fevertree,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#craftcocktails,#fevertree,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#fevertree,#rosemary,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@DoubleDutchMix,Cranberry,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
@DoubleDutchMix,Ginger,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
@GinFoundry,Orange,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Hashtag,Ingredient,Beverage,Canada,
Fever Tree,Tonic,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Brand,Ingredient,Beverage,Canada,8.834928
